66;0.547980;0.532828;0.555556;0.593434;0.553030;0.550505;0.530303;0.573232;0.553030;0.540404;0.545455;0.590909;0.558081;0.517677;0.537879;0.568182;0.565657;0.585859;0.578283;0.558081;0.593434;0.532828;0.520202;0.550505;0.550505;0.550505;0.603535;0.545455;0.527778;0.555556
71;0.585859;0.527778;0.532828;0.588384;0.555556;0.542929;0.553030;0.527778;0.578283;0.575758;0.542929;0.555556;0.550505;0.542929;0.555556;0.563131;0.550505;0.570707;0.578283;0.515152;0.542929;0.585859;0.558081;0.553030;0.527778;0.565657;0.618687;0.573232;0.547980;0.500000
76;0.578283;0.565657;0.558081;0.542929;0.553030;0.535354;0.537879;0.578283;0.550505;0.545455;0.578283;0.542929;0.540404;0.555556;0.542929;0.578283;0.598485;0.517677;0.540404;0.532828;0.525253;0.580808;0.550505;0.603535;0.505051;0.578283;0.550505;0.575758;0.555556;0.568182
81;0.568182;0.568182;0.565657;0.570707;0.537879;0.522727;0.565657;0.580808;0.537879;0.515152;0.563131;0.570707;0.540404;0.532828;0.558081;0.573232;0.527778;0.601010;0.540404;0.578283;0.593434;0.568182;0.522727;0.530303;0.560606;0.583333;0.565657;0.553030;0.565657;0.505051
86;0.565657;0.580808;0.545455;0.558081;0.515152;0.568182;0.555556;0.575758;0.542929;0.560606;0.568182;0.530303;0.560606;0.563131;0.530303;0.583333;0.565657;0.530303;0.520202;0.558081;0.568182;0.558081;0.563131;0.565657;0.505051;0.550505;0.575758;0.588384;0.575758;0.537879
91;0.590909;0.522727;0.565657;0.560606;0.563131;0.530303;0.575758;0.540404;0.550505;0.580808;0.540404;0.545455;0.527778;0.527778;0.573232;0.558081;0.573232;0.573232;0.542929;0.573232;0.545455;0.570707;0.545455;0.555556;0.522727;0.580808;0.553030;0.568182;0.547980;0.560606
96;0.542929;0.568182;0.560606;0.563131;0.532828;0.565657;0.595960;0.502525;0.553030;0.585859;0.578283;0.517677;0.550505;0.542929;0.595960;0.565657;0.558081;0.520202;0.570707;0.560606;0.520202;0.578283;0.558081;0.545455;0.527778;0.580808;0.573232;0.547980;0.580808;0.522727
101;0.590909;0.502525;0.570707;0.555556;0.532828;0.580808;0.537879;0.593434;0.547980;0.530303;0.568182;0.555556;0.563131;0.563131;0.535354;0.555556;0.550505;0.565657;0.555556;0.547980;0.535354;0.527778;0.588384;0.578283;0.573232;0.565657;0.575758;0.505051;0.570707;0.542929
106;0.535354;0.527778;0.553030;0.568182;0.570707;0.578283;0.517677;0.555556;0.550505;0.575758;0.575758;0.558081;0.575758;0.580808;0.535354;0.537879;0.568182;0.535354;0.565657;0.580808;0.512626;0.547980;0.593434;0.532828;0.532828;0.578283;0.550505;0.575758;0.560606;0.535354
111;0.530303;0.540404;0.540404;0.540404;0.636364;0.545455;0.550505;0.555556;0.608586;0.540404;0.558081;0.520202;0.578283;0.580808;0.527778;0.568182;0.532828;0.545455;0.532828;0.601010;0.525253;0.522727;0.547980;0.603535;0.527778;0.590909;0.545455;0.560606;0.568182;0.540404
116;0.558081;0.527778;0.578283;0.575758;0.530303;0.563131;0.573232;0.545455;0.520202;0.560606;0.583333;0.550505;0.547980;0.545455;0.601010;0.532828;0.563131;0.542929;0.550505;0.575758;0.563131;0.573232;0.542929;0.527778;0.535354;0.570707;0.578283;0.525253;0.573232;0.550505
121;0.515152;0.545455;0.563131;0.570707;0.565657;0.573232;0.553030;0.570707;0.565657;0.578283;0.507576;0.558081;0.512626;0.601010;0.545455;0.553030;0.520202;0.601010;0.527778;0.530303;0.595960;0.547980;0.555556;0.575758;0.517677;0.545455;0.575758;0.522727;0.580808;0.590909
126;0.502525;0.560606;0.565657;0.578283;0.563131;0.563131;0.570707;0.558081;0.560606;0.550505;0.517677;0.575758;0.563131;0.535354;0.563131;0.540404;0.565657;0.565657;0.560606;0.512626;0.532828;0.560606;0.583333;0.583333;0.535354;0.590909;0.545455;0.593434;0.550505;0.517677
131;0.547980;0.547980;0.550505;0.547980;0.575758;0.563131;0.563131;0.568182;0.570707;0.547980;0.535354;0.547980;0.550505;0.545455;0.575758;0.540404;0.590909;0.530303;0.522727;0.547980;0.540404;0.570707;0.611111;0.540404;0.530303;0.522727;0.573232;0.580808;0.547980;0.578283
136;0.563131;0.527778;0.590909;0.593434;0.542929;0.515152;0.555556;0.555556;0.532828;0.542929;0.553030;0.593434;0.573232;0.545455;0.553030;0.553030;0.530303;0.578283;0.565657;0.550505;0.601010;0.583333;0.487374;0.545455;0.583333;0.550505;0.570707;0.570707;0.500000;0.558081
141;0.542929;0.555556;0.525253;0.558081;0.583333;0.568182;0.573232;0.550505;0.570707;0.530303;0.598485;0.510101;0.535354;0.555556;0.560606;0.580808;0.558081;0.542929;0.550505;0.563131;0.588384;0.530303;0.553030;0.547980;0.563131;0.580808;0.517677;0.542929;0.565657;0.563131
146;0.558081;0.565657;0.606061;0.542929;0.510101;0.550505;0.560606;0.537879;0.575758;0.560606;0.563131;0.535354;0.590909;0.537879;0.535354;0.575758;0.555556;0.537879;0.580808;0.580808;0.535354;0.537879;0.527778;0.570707;0.603535;0.527778;0.522727;0.555556;0.590909;0.532828
151;0.555556;0.568182;0.525253;0.555556;0.578283;0.550505;0.553030;0.553030;0.550505;0.568182;0.540404;0.568182;0.505051;0.580808;0.522727;0.573232;0.583333;0.568182;0.510101;0.583333;0.578283;0.555556;0.542929;0.563131;0.575758;0.484848;0.550505;0.580808;0.550505;0.590909
156;0.558081;0.570707;0.558081;0.532828;0.560606;0.553030;0.611111;0.530303;0.532828;0.542929;0.527778;0.588384;0.563131;0.575758;0.583333;0.560606;0.537879;0.512626;0.547980;0.545455;0.547980;0.553030;0.532828;0.606061;0.565657;0.507576;0.580808;0.588384;0.540404;0.550505
161;0.550505;0.527778;0.570707;0.537879;0.553030;0.593434;0.568182;0.540404;0.601010;0.505051;0.555556;0.563131;0.550505;0.555556;0.575758;0.535354;0.580808;0.535354;0.520202;0.560606;0.542929;0.590909;0.593434;0.525253;0.547980;0.540404;0.525253;0.537879;0.588384;0.593434
166;0.558081;0.532828;0.532828;0.540404;0.588384;0.580808;0.553030;0.547980;0.575758;0.553030;0.535354;0.568182;0.517677;0.575758;0.537879;0.570707;0.537879;0.593434;0.558081;0.590909;0.537879;0.537879;0.595960;0.512626;0.527778;0.573232;0.598485;0.530303;0.565657;0.537879
